iter	Passed	Remaining
0	11	1715
1	16	1211
2	21	1035
3	27	959
4	32	923
5	38	885
6	43	858
7	48	830
8	53	805
9	58	786
10	63	769
11	68	755
12	72	738
13	77	728
14	83	719
15	87	708
16	93	701
17	98	691
18	102	682
19	107	672
20	112	663
21	117	655
22	121	647
23	126	639
24	131	633
25	136	626
26	142	621
27	147	616
28	152	608
29	157	604
30	162	597
31	167	591
32	172	584
33	177	579
34	182	572
35	187	566
36	192	561
37	197	555
38	203	554
39	208	547
40	213	542
41	220	540
42	226	536
43	231	531
44	236	526
45	241	520
46	246	514
47	251	508
48	256	502
49	261	496
50	266	490
51	271	484
52	275	478
53	280	473
54	285	467
55	291	462
56	295	456
57	301	451
58	306	446
59	310	440
60	315	434
61	320	429
62	325	423
63	330	418
64	336	414
65	341	408
66	346	403
67	351	398
68	356	392
69	361	386
70	366	381
71	370	376
72	376	371
73	381	365
74	386	360
75	391	355
76	396	350
77	401	345
78	406	339
79	411	334
80	417	329
81	423	325
82	428	320
83	433	315
84	439	309
85	444	304
86	449	299
87	454	294
88	458	288
89	463	283
90	468	278
91	473	272
92	478	267
93	483	262
94	488	257
95	493	252
96	498	246
97	503	241
98	507	236
99	513	230
100	519	226
101	523	220
102	528	215
103	533	210
104	538	205
105	543	200
106	548	194
107	554	189
108	559	184
109	565	179
110	569	174
111	574	169
112	579	164
113	584	158
114	589	153
115	594	148
116	599	143
117	604	138
118	609	133
119	614	128
120	619	122
121	624	117
122	630	112
123	635	107
124	640	102
125	646	97
126	650	92
127	655	87
128	660	81
129	665	76
130	670	71
131	675	66
132	680	61
133	685	56
134	690	51
135	695	46
136	700	40
137	705	35
138	710	30
139	715	25
140	719	20
141	725	15
142	730	10
143	736	5
144	741	0
